transaction_id,mall_name,branch_name,transaction_date,tax_amount,transaction_amount,transaction_type,transaction_status
JO-2504-6740-70282,Y Mall,Y Mall Tla'a Al-Ali,16/02/2025 15:05,0.48,6.55,Sale,Failed
JO-2504-9288-95055,Y Mall,Y Mall Tla'a Al-Ali,16/02/2025 15:04,0.36,4.77,Sale,Failed
JO-2504-5110-62917,Y Mall,Y Mall Tla'a Al-Ali,16/02/2025 15:02,0.24,3.27,Sale,Failed
JO-2504-1180-93019,Z Mall,Z Mall Gardens,16/02/2025 14:57,0.24,3.27,Sale,Failed
JO-2504-2583-55476,Z Mall,Z Mall Gardens,16/02/2025 14:54,0.24,3.27,Sale,Failed
JO-2504-3075-52878,Y Mall,Y Mall Shmeisani,16/02/2025 14:40,1.39,18.58,Sale,Failed
JO-2504-9995-21342,Z Mall,Z Mall Al Jubeiha,16/02/2025 14:37,0.47,6.4,Sale,Failed
JO-2504-7179-15984,C Mall,C Mall Aqaba,16/02/2025 14:29,0.25,3.4,Sale,Failed
JO-2504-7023-65089,Y Mall,Y Mall Dabouq,16/02/2025 14:09,1.8,24.38,Sale,Failed
JO-2504-9504-95095,Y Mall,Y Mall Shmeisani,16/02/2025 13:28,0.41,5.45,Sale,Failed
JO-2504-8178-32606,Z Mall,Z Mall Gardens,16/02/2025 13:26,0.46,6.24,Sale,Failed
JO-2504-8492-24504,Z Mall,Z Mall Gardens,16/02/2025 13:21,0.72,9.82,Sale,Failed
JO-2504-9260-90035,C Mall,C Mall Amman,16/02/2025 13:11,0.24,3.27,Sale,Failed
JO-2504-9374-96459,Y Mall,Y Mall Tla'a Al-Ali,16/02/2025 13:04,0.37,4.91,Sale,Failed
JO-2504-4640-85130,Y Mall,Y Mall Shmeisani,16/02/2025 12:15,0.48,6.55,Sale,Failed
JO-2504-6613-24121,Y Mall,Y Mall Dabouq,16/02/2025 12:15,0.24,3.27,Sale,Failed
JO-2504-4996-72918,C Mall,C Mall Aqaba,16/02/2025 12:12,0.24,3.27,Sale,Failed
JO-2504-4490-89991,Z Mall,Z Mall Al Bayader,16/02/2025 11:50,0.66,8.96,Sale,Failed
JO-2504-2201-10335,Y Mall,Y Mall Tla'a Al-Ali,16/02/2025 11:43,0.28,3.8,Sale,Failed
JO-2504-2585-27520,C Mall,C Mall Irbid,16/02/2025 11:42,0.28,3.8,Sale,Failed
JO-2504-2189-92656,C Mall,C Mall Irbid,16/02/2025 11:24,0.25,3.4,Sale,Failed
JO-2504-6453-56419,C Mall,C Mall Irbid,16/02/2025 10:42,0.24,3.27,Sale,Failed
JO-2504-7427-57136,Z Mall,Z Mall Gardens,16/02/2025 10:20,0.66,8.96,Sale,Failed
JO-2504-2200-76230,Z Mall,Z Mall Gardens,16/02/2025 10:07,0.24,3.27,Sale,Failed
JO-2504-6110-80081,C Mall,C Mall Aqaba,16/02/2025 9:48,1.31,17.8,Sale,Failed
JO-2504-7743-51682,C Mall,C Mall Amman,16/02/2025 9:19,0.7,9.52,Sale,Failed
JO-2504-6952-52415,Z Mall,Z Mall Al Bayader,15/02/2025 20:46,1.26,17.01,Sale,Failed
JO-2504-4804-72665,C Mall,C Mall Amman,15/02/2025 18:55,0.66,8.96,Sale,Failed
JO-2504-4946-35671,C Mall,C Mall Amman,15/02/2025 18:09,0.59,7.89,Sale,Failed
JO-2504-7774-42518,Y Mall,Y Mall Tla'a Al-Ali,15/02/2025 17:47,0.66,8.96,Sale,Failed
JO-2504-8507-62212,Z Mall,Z Mall Gardens,15/02/2025 16:45,0.72,9.75,Sale,Failed
JO-2504-6769-99828,Z Mall,Z Mall Al Bayader,15/02/2025 16:44,0.66,8.96,Sale,Failed
JO-2504-5702-62970,Z Mall,Z Mall Al Bayader,15/02/2025 16:33,0.66,8.96,Sale,Failed
JO-2504-8222-61678,Z Mall,Z Mall Al Bayader,15/02/2025 16:25,0.24,3.27,Sale,Failed
JO-2504-6716-53055,Y Mall,Y Mall Shmeisani,15/02/2025 16:21,0.29,3.9,Sale,Failed
JO-2504-6587-52273,C Mall,C Mall Amman,15/02/2025 16:16,1.6,21.55,Sale,Failed
JO-2504-7892-68203,C Mall,C Mall Aqaba,15/02/2025 16:14,0.25,3.4,Sale,Completed
JO-2504-9682-23048,C Mall,C Mall Amman,15/02/2025 16:13,0.24,3.27,Sale,Completed
JO-2504-1616-31930,C Mall,C Mall Aqaba,15/02/2025 16:12,0.87,11.71,Sale,Completed
JO-2504-3551-21696,Z Mall,Z Mall Gardens,15/02/2025 16:09,1.16,15.65,Sale,Completed
JO-2504-2639-31037,Z Mall,Z Mall Al Bayader,15/02/2025 16:03,0.16,2.16,Sale,Completed
JO-2504-8048-49321,C Mall,C Mall Amman,15/02/2025 15:52,0.35,4.68,Sale,Completed
JO-2504-9702-31670,Z Mall,Z Mall Al Jubeiha,15/02/2025 15:52,1.24,16.68,Sale,Completed
JO-2504-9370-85671,C Mall,C Mall Irbid,15/02/2025 15:36,0.66,8.96,Sale,Completed
JO-2504-3090-52986,Z Mall,Z Mall Al Jubeiha,15/02/2025 15:24,0.24,3.27,Sale,Completed
JO-2504-3858-69497,C Mall,C Mall Amman,15/02/2025 15:02,0.6,8.11,Sale,Completed
JO-2504-2700-15540,C Mall,C Mall Aqaba,15/02/2025 14:44,0.42,5.72,Sale,Completed
JO-2504-5493-42425,C Mall,C Mall Irbid,15/02/2025 14:34,0.42,5.72,Sale,Completed
JO-2504-7222-35079,C Mall,C Mall Amman,15/02/2025 14:31,0.24,3.27,Sale,Completed
JO-2504-7842-43008,Z Mall,Z Mall Al Jubeiha,15/02/2025 14:29,0.66,8.96,Sale,Completed
JO-2504-8494-62254,C Mall,C Mall Amman,15/02/2025 14:25,0.72,9.82,Sale,Completed
JO-2504-2905-98654,Y Mall,Y Mall Dabouq,15/02/2025 14:18,0.75,10.01,Sale,Completed
JO-2504-8607-38748,C Mall,C Mall Amman,15/02/2025 14:15,0.24,3.27,Sale,Completed
JO-2504-7058-82438,Z Mall,Z Mall Gardens,15/02/2025 14:13,0.27,3.68,Sale,Completed
JO-2504-9319-91097,C Mall,C Mall Irbid,15/02/2025 13:58,0.24,3.27,Sale,Completed
JO-2504-8846-88305,Y Mall,Y Mall Tla'a Al-Ali,15/02/2025 13:51,0.25,3.4,Sale,Completed
JO-2504-8846-90693,C Mall,C Mall Aqaba,15/02/2025 13:49,0.66,8.96,Sale,Completed
JO-2504-7795-30480,C Mall,C Mall Aqaba,15/02/2025 13:45,0.48,6.55,Sale,Completed
JO-2504-8475-25372,C Mall,C Mall Amman,15/02/2025 13:40,1.44,19.4,Sale,Completed
JO-2504-5531-87191,Z Mall,Z Mall Al Jubeiha,15/02/2025 13:16,0.24,3.27,Sale,Completed
JO-2504-2467-45264,C Mall,C Mall Amman,15/02/2025 13:15,0.37,4.91,Sale,Completed
JO-2504-7838-43166,Z Mall,Z Mall Al Jubeiha,15/02/2025 12:58,1.43,19.18,Sale,Completed
JO-2504-4661-86469,Y Mall,Y Mall Shmeisani,15/02/2025 12:56,0.24,3.27,Sale,Completed
JO-2504-2599-70403,C Mall,C Mall Aqaba,15/02/2025 12:47,0.6,8.11,Sale,Completed
JO-2504-4128-15689,Z Mall,Z Mall Gardens,15/02/2025 12:46,0.48,6.57,Sale,Completed
JO-2504-3716-45839,Z Mall,Z Mall Al Jubeiha,15/02/2025 12:40,0.97,13.11,Sale,Completed
JO-2504-6970-65197,Z Mall,Z Mall Al Jubeiha,15/02/2025 12:32,0.24,3.27,Sale,Completed
JO-2504-1316-84768,C Mall,C Mall Irbid,15/02/2025 12:31,0.48,6.55,Sale,Completed
JO-2504-8618-83513,Z Mall,Z Mall Al Jubeiha,15/02/2025 12:24,0.48,6.55,Sale,Completed
JO-2504-3937-82590,C Mall,C Mall Irbid,15/02/2025 12:17,1.04,14.06,Sale,Completed
JO-2504-6437-23445,C Mall,C Mall Aqaba,15/02/2025 12:06,0.66,8.96,Sale,Completed
JO-2504-6073-58323,Y Mall,Y Mall Tla'a Al-Ali,15/02/2025 11:55,0.24,3.27,Sale,Completed
JO-2504-5112-21357,Y Mall,Y Mall Tla'a Al-Ali,15/02/2025 11:52,0.11,1.48,Sale,Completed
JO-2504-1688-68563,C Mall,C Mall Aqaba,15/02/2025 11:51,0.82,11.06,Sale,Completed
JO-2504-7292-13979,Y Mall,Y Mall Shmeisani,15/02/2025 11:43,0.66,8.96,Sale,Completed
JO-2504-8212-57252,Z Mall,Z Mall Gardens,15/02/2025 11:40,0.24,3.27,Sale,Completed
JO-2504-5844-27764,C Mall,C Mall Amman,15/02/2025 11:39,2.2,29.78,Sale,Completed
JO-2504-8737-35940,Y Mall,Y Mall Dabouq,15/02/2025 11:27,0.78,10.55,Sale,Completed
JO-2504-3409-45333,Z Mall,Z Mall Gardens,15/02/2025 11:25,1.96,26.64,Sale,Completed
JO-2504-2599-57605,C Mall,C Mall Amman,15/02/2025 11:13,0.11,1.58,Sale,Completed
JO-2504-7509-88148,Z Mall,Z Mall Al Bayader,15/02/2025 11:09,0.66,8.96,Sale,Completed
JO-2504-6977-65681,C Mall,C Mall Irbid,15/02/2025 11:07,0.48,6.57,Sale,Completed
JO-2504-4726-21747,C Mall,C Mall Amman,15/02/2025 11:00,0.41,5.45,Sale,Completed
JO-2504-8393-77022,Z Mall,Z Mall Gardens,15/02/2025 10:59,0.74,9.93,Sale,Completed
JO-2504-9860-60498,Z Mall,Z Mall Al Bayader,15/02/2025 10:48,0.34,4.54,Sale,Completed
JO-2504-6156-59042,Z Mall,Z Mall Al Bayader,15/02/2025 10:06,0.28,3.8,Sale,Completed
JO-2504-7670-22827,C Mall,C Mall Aqaba,14/02/2025 20:16,1.2,16.32,Sale,Completed
JO-2504-6109-88674,Z Mall,Z Mall Al Jubeiha,14/02/2025 18:32,0.34,4.51,Sale,Completed
JO-2504-5023-71335,C Mall,C Mall Irbid,14/02/2025 18:09,0.7,9.47,Sale,Completed
JO-2504-8583-97759,Z Mall,Z Mall Gardens,14/02/2025 17:58,1.32,17.91,Sale,Completed
JO-2504-9561-75413,C Mall,C Mall Aqaba,14/02/2025 17:40,0.26,3.57,Sale,Completed
JO-2504-3437-26157,C Mall,C Mall Irbid,14/02/2025 17:38,1.03,13.81,Sale,Completed
JO-2504-4109-40268,C Mall,C Mall Amman,14/02/2025 17:31,0.75,10.01,Sale,Completed
JO-2504-4740-75621,C Mall,C Mall Irbid,14/02/2025 17:25,0.06,0.8,Sale,Completed
JO-2504-1017-89424,Y Mall,Y Mall Shmeisani,14/02/2025 17:14,0.43,5.83,Sale,Completed
JO-2504-1342-63314,C Mall,C Mall Amman,14/02/2025 17:13,0.65,8.79,Sale,Completed
JO-2504-4860-47705,Z Mall,Z Mall Al Jubeiha,14/02/2025 17:12,0.27,3.68,Sale,Completed
JO-2504-6577-30703,Z Mall,Z Mall Gardens,14/02/2025 17:06,0.24,3.27,Sale,Completed
JO-2504-8144-77245,Z Mall,Z Mall Al Bayader,14/02/2025 17:06,1.32,17.91,Sale,Completed
JO-2504-4675-61460,Z Mall,Z Mall Al Jubeiha,14/02/2025 17:00,0.32,4.21,Sale,Completed
JO-2504-5557-13588,C Mall,C Mall Irbid,14/02/2025 16:46,0.66,8.96,Sale,Completed
JO-2504-4359-41854,Y Mall,Y Mall Dabouq,14/02/2025 16:34,0.25,3.4,Sale,Completed
JO-2504-3495-47927,Z Mall,Z Mall Al Bayader,14/02/2025 16:22,0.56,7.49,Sale,Completed
JO-2504-8222-50078,Y Mall,Y Mall Shmeisani,14/02/2025 16:17,1.35,18.31,Sale,Completed
JO-2504-8974-64304,Z Mall,Z Mall Al Bayader,14/02/2025 15:58,0.69,9.3,Sale,Completed
JO-2504-2599-62488,C Mall,C Mall Irbid,14/02/2025 15:38,0.24,3.27,Sale,Completed
JO-2504-3264-71889,C Mall,C Mall Aqaba,14/02/2025 15:37,0.66,8.96,Sale,Completed
JO-2504-9630-98982,Z Mall,Z Mall Gardens,14/02/2025 15:24,0.66,8.9,Sale,Completed
JO-2504-5390-24047,Z Mall,Z Mall Al Bayader,14/02/2025 15:20,1.32,17.91,Sale,Completed
JO-2504-7394-74052,Z Mall,Z Mall Al Bayader,14/02/2025 15:18,0.66,8.96,Sale,Completed
JO-2504-9940-10750,Y Mall,Y Mall Tla'a Al-Ali,14/02/2025 15:15,0.49,6.58,Sale,Completed
JO-2504-3318-96915,Y Mall,Y Mall Shmeisani,14/02/2025 15:12,0.66,8.96,Sale,Completed
JO-2504-3586-24920,Y Mall,Y Mall Tla'a Al-Ali,14/02/2025 15:10,0.47,6.4,Sale,Completed
JO-2504-8400-77428,Y Mall,Y Mall Shmeisani,14/02/2025 15:05,1.81,24.49,Refund,Completed
JO-2504-1286-33921,Z Mall,Z Mall Al Jubeiha,14/02/2025 15:01,0.48,6.55,Refund,Completed
JO-2504-9589-46197,C Mall,C Mall Amman,14/02/2025 15:00,1.07,14.51,Refund,Completed
JO-2504-1586-41724,Y Mall,Y Mall Shmeisani,14/02/2025 14:56,0.42,5.57,Sale,Completed
JO-2504-4795-25353,Z Mall,Z Mall Gardens,14/02/2025 14:53,1.32,17.91,Sale,Completed
JO-2504-9406-55708,C Mall,C Mall Amman,14/02/2025 14:50,0.72,9.75,Sale,Completed
JO-2504-2567-55370,Z Mall,Z Mall Al Jubeiha,14/02/2025 14:47,0.75,10.01,Sale,Completed
JO-2504-5929-83210,C Mall,C Mall Irbid,14/02/2025 14:43,0.99,13.38,Sale,Completed
JO-2504-8878-95880,C Mall,C Mall Amman,14/02/2025 14:42,0.24,3.27,Sale,Completed
JO-2504-7840-15183,C Mall,C Mall Amman,14/02/2025 14:41,1.78,24.09,Sale,Completed
JO-2504-3750-30240,C Mall,C Mall Amman,14/02/2025 14:31,0.41,5.56,Sale,Completed
JO-2504-4264-61093,C Mall,C Mall Amman,14/02/2025 14:29,0.66,8.96,Sale,Completed
JO-2504-1358-16737,Z Mall,Z Mall Gardens,14/02/2025 14:26,0.24,3.27,Sale,Completed
JO-2504-6357-11634,C Mall,C Mall Amman,14/02/2025 14:23,0.24,3.27,Sale,Completed
JO-2504-2021-71854,Y Mall,Y Mall Shmeisani,14/02/2025 14:21,0.24,3.27,Sale,Completed
JO-2504-8301-94917,C Mall,C Mall Irbid,14/02/2025 14:20,1.32,17.91,Sale,Completed
JO-2504-8185-13245,Y Mall,Y Mall Dabouq,14/02/2025 14:13,0.84,11.34,Sale,Completed
JO-2504-8362-88108,Z Mall,Z Mall Gardens,14/02/2025 13:58,0.94,12.75,Sale,Completed
JO-2504-6420-11737,C Mall,C Mall Irbid,14/02/2025 13:33,1.36,18.38,Sale,Completed
JO-2504-2779-81383,C Mall,C Mall Aqaba,14/02/2025 13:27,0.66,8.96,Sale,Completed
JO-2504-8913-70702,C Mall,C Mall Irbid,14/02/2025 13:22,0.24,3.27,Sale,Completed
JO-2504-9134-90233,C Mall,C Mall Amman,14/02/2025 13:21,0.34,4.54,Sale,Completed
JO-2504-6710-85117,Z Mall,Z Mall Gardens,14/02/2025 13:07,0.66,8.9,Sale,Completed
JO-2504-5923-13257,Y Mall,Y Mall Dabouq,14/02/2025 13:05,0.16,2.16,Sale,Completed
JO-2504-4027-85980,Z Mall,Z Mall Al Jubeiha,14/02/2025 12:36,0.66,8.96,Sale,Completed
JO-2504-1813-75700,Z Mall,Z Mall Al Jubeiha,14/02/2025 12:22,0.5,6.8,Sale,Completed
JO-2504-1438-73465,Y Mall,Y Mall Shmeisani,14/02/2025 12:19,0.36,4.88,Sale,Completed
JO-2504-3395-84082,Y Mall,Y Mall Dabouq,14/02/2025 12:16,0.66,8.96,Sale,Completed
JO-2504-9058-10286,C Mall,C Mall Amman,14/02/2025 12:09,0.24,3.27,Sale,Completed
JO-2504-4215-75277,Y Mall,Y Mall Tla'a Al-Ali,14/02/2025 12:08,0.6,8.11,Sale,Completed
JO-2504-7457-28704,Z Mall,Z Mall Gardens,14/02/2025 12:07,0.24,3.27,Sale,Completed
JO-2504-6392-62925,Y Mall,Y Mall Shmeisani,14/02/2025 11:25,0.41,5.45,Sale,Completed
JO-2504-2988-84087,Z Mall,Z Mall Al Jubeiha,14/02/2025 11:14,0.66,8.9,Sale,Completed
JO-2504-8258-54031,Z Mall,Z Mall Al Jubeiha,14/02/2025 10:56,0.24,3.27,Sale,Completed
JO-2504-7499-43916,C Mall,C Mall Aqaba,14/02/2025 10:55,1.41,19.05,Sale,Completed
JO-2504-2622-68382,C Mall,C Mall Aqaba,13/02/2025 18:33,0.72,9.82,Sale,Completed
JO-2504-1518-53542,Y Mall,Y Mall Shmeisani,13/02/2025 18:23,0.51,6.92,Sale,Completed
JO-2504-1286-59974,C Mall,C Mall Amman,13/02/2025 18:21,0.24,3.27,Sale,Completed
JO-2504-3302-80235,Z Mall,Z Mall Gardens,13/02/2025 18:18,0.75,10.01,Sale,Completed
JO-2504-6483-70827,Z Mall,Z Mall Gardens,13/02/2025 17:42,0.11,1.58,Sale,Completed
JO-2504-2245-11639,Z Mall,Z Mall Gardens,13/02/2025 17:22,0.05,0.68,Sale,Completed
JO-2504-3151-98110,C Mall,C Mall Aqaba,13/02/2025 17:21,0.54,7.26,Sale,Completed
JO-2504-3510-93044,Y Mall,Y Mall Dabouq,13/02/2025 17:10,1.21,16.33,Sale,Completed
JO-2504-1162-31373,Z Mall,Z Mall Al Jubeiha,13/02/2025 16:39,0.43,5.83,Sale,Completed
JO-2504-9488-16250,Y Mall,Y Mall Dabouq,13/02/2025 16:38,0.66,8.96,Sale,Completed
JO-2504-6985-57333,Y Mall,Y Mall Tla'a Al-Ali,13/02/2025 16:30,0.47,6.4,Sale,Completed
JO-2504-6137-88014,C Mall,C Mall Irbid,13/02/2025 16:18,0.27,3.68,Sale,Completed
JO-2504-4255-70707,C Mall,C Mall Aqaba,13/02/2025 16:09,0.11,1.58,Sale,Completed
JO-2504-7399-29324,C Mall,C Mall Amman,13/02/2025 15:48,0.24,3.27,Sale,Completed
JO-2504-5650-50429,Y Mall,Y Mall Dabouq,13/02/2025 15:44,0.63,8.53,Sale,Completed
JO-2504-5319-16111,Z Mall,Z Mall Al Jubeiha,13/02/2025 15:39,0.24,3.27,Sale,Completed
JO-2504-7689-65262,C Mall,C Mall Amman,13/02/2025 15:29,0.22,3.16,Sale,Completed
JO-2504-6002-48797,Z Mall,Z Mall Al Bayader,13/02/2025 15:10,0.24,3.27,Sale,Completed
JO-2504-3684-38127,Z Mall,Z Mall Al Bayader,13/02/2025 15:02,0.24,3.27,Sale,Completed
JO-2504-4287-85938,Z Mall,Z Mall Gardens,13/02/2025 14:47,0.41,5.45,Sale,Completed
JO-2504-3238-36890,C Mall,C Mall Amman,13/02/2025 14:12,0.24,3.27,Sale,Completed
JO-2504-7519-11819,C Mall,C Mall Irbid,13/02/2025 14:07,0.24,3.27,Sale,Completed
JO-2504-5190-61663,C Mall,C Mall Irbid,13/02/2025 14:04,0.24,3.27,Sale,Completed
JO-2504-5013-52338,Z Mall,Z Mall Gardens,13/02/2025 13:49,0.36,4.77,Sale,Completed
JO-2504-4241-28675,Y Mall,Y Mall Tla'a Al-Ali,13/02/2025 13:48,0.66,8.96,Sale,Completed
JO-2504-2534-55796,Y Mall,Y Mall Dabouq,13/02/2025 13:47,0.66,8.9,Sale,Completed
JO-2504-3936-45256,Y Mall,Y Mall Dabouq,13/02/2025 13:45,0.42,5.67,Sale,Completed
JO-2504-6687-53491,Y Mall,Y Mall Dabouq,13/02/2025 13:40,0.24,3.27,Sale,Completed
JO-2504-4005-95513,Y Mall,Y Mall Shmeisani,13/02/2025 13:39,2.8,37.87,Sale,Completed
JO-2504-4418-49551,Z Mall,Z Mall Al Jubeiha,13/02/2025 13:25,0.48,6.55,Sale,Completed
JO-2504-3405-51444,C Mall,C Mall Aqaba,13/02/2025 13:19,0.25,3.4,Sale,Completed
JO-2504-5724-61596,C Mall,C Mall Irbid,13/02/2025 13:18,0.24,3.27,Sale,Completed
JO-2504-1333-97225,Z Mall,Z Mall Al Bayader,13/02/2025 13:15,0.24,3.27,Sale,Completed
JO-2504-9831-64358,C Mall,C Mall Irbid,13/02/2025 13:09,0.24,3.27,Sale,Completed
JO-2504-4663-66856,Y Mall,Y Mall Dabouq,13/02/2025 13:09,0.24,3.27,Sale,Completed
JO-2504-1168-59781,Z Mall,Z Mall Al Bayader,13/02/2025 13:07,0.48,6.55,Sale,Completed
JO-2504-4009-15068,Z Mall,Z Mall Al Bayader,13/02/2025 12:41,0.79,10.63,Sale,Completed
JO-2504-2686-81276,Y Mall,Y Mall Dabouq,13/02/2025 12:39,0.24,3.27,Sale,Completed
JO-2504-3126-14694,Y Mall,Y Mall Tla'a Al-Ali,13/02/2025 12:36,0.24,3.27,Sale,Completed
JO-2504-1423-39181,Y Mall,Y Mall Shmeisani,13/02/2025 12:25,0.72,9.82,Sale,Completed
JO-2504-1332-99148,C Mall,C Mall Amman,13/02/2025 12:11,0.57,7.61,Sale,Failed
JO-2504-9274-66667,Z Mall,Z Mall Gardens,13/02/2025 12:02,0.57,7.61,Sale,Failed
JO-2504-2652-27621,Y Mall,Y Mall Dabouq,13/02/2025 11:44,0.16,2.16,Sale,Failed
JO-2504-9269-63944,Z Mall,Z Mall Gardens,13/02/2025 11:18,0.66,8.96,Sale,Failed
JO-2504-6543-63825,Y Mall,Y Mall Dabouq,13/02/2025 11:17,0.24,3.27,Sale,Failed
JO-2504-1742-27726,C Mall,C Mall Irbid,13/02/2025 11:13,0.24,3.27,Sale,Failed
JO-2504-3672-24403,Y Mall,Y Mall Shmeisani,13/02/2025 11:01,0.84,11.34,Sale,Failed
JO-2504-9719-69755,C Mall,C Mall Irbid,12/02/2025 19:09,1.32,17.91,Sale,Failed
JO-2504-7304-26998,Z Mall,Z Mall Gardens,12/02/2025 19:05,0.66,8.96,Sale,Failed
JO-2504-5250-82409,Z Mall,Z Mall Al Jubeiha,12/02/2025 19:01,0.66,8.96,Sale,Failed
JO-2504-2365-62562,Z Mall,Z Mall Gardens,12/02/2025 19:00,0.82,11.01,Sale,Failed
JO-2504-5542-38922,Z Mall,Z Mall Al Bayader,12/02/2025 17:18,0.66,8.96,Sale,Failed
JO-2504-6713-33177,Z Mall,Z Mall Al Jubeiha,12/02/2025 17:04,0.07,0.96,Sale,Failed
JO-2504-1978-54206,Z Mall,Z Mall Gardens,12/02/2025 16:48,0.24,3.27,Sale,Failed
JO-2504-8456-65365,Y Mall,Y Mall Shmeisani,12/02/2025 16:37,0.67,9.07,Sale,Failed
JO-2504-1473-88488,Y Mall,Y Mall Tla'a Al-Ali,12/02/2025 16:36,0.87,11.79,Sale,Failed
JO-2504-9482-53468,Y Mall,Y Mall Dabouq,12/02/2025 15:29,0.24,3.27,Sale,Failed
JO-2504-7038-85516,C Mall,C Mall Aqaba,12/02/2025 15:26,1.32,17.91,Sale,Failed
JO-2504-4096-28624,C Mall,C Mall Irbid,12/02/2025 15:25,0.24,3.27,Sale,Failed
JO-2504-3991-21198,Z Mall,Z Mall Al Jubeiha,12/02/2025 15:24,0.24,3.27,Sale,Failed
JO-2504-7342-26004,Y Mall,Y Mall Tla'a Al-Ali,12/02/2025 15:22,0.36,4.88,Sale,Failed
JO-2504-5049-90370,Y Mall,Y Mall Dabouq,12/02/2025 15:07,0.37,4.99,Sale,Failed
JO-2504-3135-55700,Z Mall,Z Mall Al Bayader,12/02/2025 14:33,0.66,8.96,Sale,Failed
JO-2504-2781-81216,Z Mall,Z Mall Al Bayader,12/02/2025 14:32,0.66,8.96,Sale,Failed
JO-2504-3083-57763,Y Mall,Y Mall Shmeisani,12/02/2025 14:22,0.25,3.4,Sale,Failed
JO-2504-8567-62739,Y Mall,Y Mall Tla'a Al-Ali,12/02/2025 14:21,0.24,3.27,Sale,Failed
JO-2504-5482-21247,C Mall,C Mall Aqaba,12/02/2025 14:19,0.24,3.27,Sale,Failed
JO-2504-7736-76815,C Mall,C Mall Irbid,12/02/2025 14:10,0.66,8.96,Sale,Failed
JO-2504-9004-43033,Y Mall,Y Mall Dabouq,12/02/2025 14:04,1.3,17.58,Sale,Failed
JO-2504-7211-67778,Z Mall,Z Mall Gardens,12/02/2025 14:02,0.24,3.27,Sale,Failed
JO-2504-9009-82027,Y Mall,Y Mall Tla'a Al-Ali,12/02/2025 13:55,0.24,3.27,Sale,Failed
JO-2504-8194-71384,C Mall,C Mall Aqaba,12/02/2025 13:55,0.24,3.27,Sale,Failed
JO-2504-1961-10227,C Mall,C Mall Aqaba,12/02/2025 13:49,0.24,3.27,Sale,Failed
JO-2504-6501-62072,Z Mall,Z Mall Al Jubeiha,12/02/2025 13:40,1.03,13.86,Sale,Failed
JO-2504-2007-32181,Y Mall,Y Mall Dabouq,12/02/2025 13:29,0.41,5.56,Sale,Failed
JO-2504-7281-29209,Z Mall,Z Mall Al Jubeiha,12/02/2025 13:24,0.24,3.27,Sale,Failed
JO-2504-3762-71708,C Mall,C Mall Aqaba,12/02/2025 13:11,0.24,3.27,Sale,Failed
JO-2504-8578-44172,Y Mall,Y Mall Tla'a Al-Ali,12/02/2025 12:35,0.24,3.27,Sale,Failed
JO-2504-3473-88451,Y Mall,Y Mall Tla'a Al-Ali,12/02/2025 12:34,0.24,3.27,Sale,Failed
JO-2504-6355-80188,Y Mall,Y Mall Tla'a Al-Ali,12/02/2025 12:34,0.24,3.27,Sale,Failed
JO-2504-7596-74234,Y Mall,Y Mall Tla'a Al-Ali,12/02/2025 12:32,0.24,3.27,Sale,Failed
